T,$\sigma$,V
360.0,585.0,-8512511140.292883
360.0,600.0,-8141073940.259615
360.0,615.0,-7781536168.496538
360.0,630.0,-7433910460.049326
360.0,645.0,-7098134282.815384
360.0,660.0,-6774129867.620339
360.0,675.0,-6461780279.184556
360.0,690.0,-6160938703.101145
360.0,705.0,-5871431968.39657
360.0,720.0,-5593063861.055355
360.0,735.0,-5325618225.647149
360.0,750.0,-5068861856.159138
360.0,765.0,-4822547177.884917
360.0,780.0,-4591629575.276585
360.0,795.0,-4365250812.415211
360.0,810.0,-4143612650.534536
360.0,825.0,-3936384190.789311
360.0,840.0,-3738223905.7981424
360.0,855.0,-3548843319.899732
360.0,870.0,-3367953014.6947165
360.0,885.0,-3195263880.594568
360.0,900.0,-3030488229.411124
360.0,915.0,-2873340777.441246
360.0,930.0,-2723539508.4114194
360.0,945.0,-2580806425.5121965
360.0,960.0,-2444868200.4682083
360.0,975.0,-2315456729.4445815
360.0,990.0,-2192309602.432763
375.0,0.0,-32606406059.854443
375.0,15.0,-32579639246.22307
375.0,30.0,-32499814098.75334
375.0,45.0,-32368097692.408455
375.0,60.0,-32186108892.869667
375.0,75.0,-31955799366.283302
375.0,90.0,-31679373134.93281
375.0,105.0,-31359225846.10861
375.0,120.0,-30997896338.39756
375.0,135.0,-30598026729.4233
375.0,150.0,-30162328821.606697
375.0,165.0,-29693555424.92048
375.0,180.0,-29194475647.771835
375.0,195.0,-28667853482.047085
375.0,210.0,-28116429186.72096
375.0,225.0,-27542903091.79889
375.0,240.0,-26949921529.227364
375.0,255.0,-26340064655.472412
375.0,270.0,-25715835973.561115
375.0,285.0,-25079653395.599224
375.0,300.0,-24433841709.86952
375.0,315.0,-23780626336.372784
375.0,330.0,-23122128267.205933
375.0,345.0,-22460360100.623947
375.0,360.0,-21797223085.385708
375.0,375.0,-21134505097.872482
375.0,390.0,-20473879481.25529
375.0,405.0,-19816904677.70437
375.0,420.0,-19165024589.5824
375.0,435.0,-18519569606.86172
375.0,450.0,-17881758240.238342
375.0,465.0,-17252699301.191185
375.0,480.0,-16633394571.533108
